"","Gene","N.sums","MF.score","MF.rank","MF.nfold.min"
"Crisp3","11572",6,2.26499780845441e-06,14850,14569
"Afp","11576",38,1.2907479621885e-05,17293,17440.5
"Aga","11593",6,3.49870542072093e-07,8267,9457.5
"Acan","11595",4,6.09355864241454e-07,10415,7840
"Ager","11596",8,4.84806270663802e-07,9526,10045
"Angpt1","11600",30,2.7129656327625e-06,15310,16074.5
"Angpt2","11601",16,1.8454840195621e-06,14280,14925
"Angpt4","11602",6,4.04761451913772e-07,8840,10263
"Agrn","11603",15,1.00134011697487e-06,12218,13422.5
"Agrp","11604",6,9.63071661839278e-07,12058,10905.5
"Gla","11605",20,2.46051804190168e-06,15067,15897
"Agt","11606",22,2.71215849536934e-06,15309,15632
"Agtr1a","11607",22,1.9757385173762e-06,14476,14669.5
"Agtr1b","11608",1,1.70054226211437e-08,1312,1284
"Agtr2","11609",17,2.31434612456348e-06,14908,15690.5
"Agtrap","11610",10,1.3154664686302e-06,13138,13210.5
"Agxt","11611",6,3.54006988239934e-07,8310,7605
"Nr0b1","11614",7,1.11649109791052e-06,12581,12096.5
"Ahr","11622",27,3.89883321463814e-06,16053,16196
"Ahrr","11624",12,2.63905977337779e-06,15233,14137
"Ahsg","11625",8,3.85976698162525e-06,16031,10149.5
"Aicda","11628",4,1.90899770908122e-05,17406,7192.5
"Aif1","11629",33,4.26862295982947e-06,16203,16713
"Aim1","11630",24,1.60531286545153e-06,13839,15144
"Aip","11632",3,7.85828662028419e-08,3479,4570
"Aire","11634",5,2.26274725196054e-07,6571,7973
"Ak1","11636",21,1.67603934924229e-06,13966,14567.5
"Ak2","11637",9,3.91771095029853e-07,8715,9851
"Ak4","11639",36,5.42276390572984e-06,16558,16978.5
"Akap1","11640",6,1.22454703965492e-07,4631,6193
"Akap2","11641",23,2.06895009501589e-06,14614,15239.5
"Akap3","11642",1,1.80346326264178e-08,1460.5,1475.5
"Akap4","11643",4,1.16359126576271e-07,4496,5346
"Alpl","11647",16,1.70026916266979e-06,14029,14164.5
"Akp3","11648",6,1.9549668456795e-05,17418,12457.5
"Alppl2","11650",2,1.75586262596524e-07,5695,2380
"Akt1","11651",10,7.95945623988454e-07,11376,11098
"Akt2","11652",6,9.14790657732254e-07,11867,11995
"Alas1","11655",14,3.14756750957986e-06,15626,15169.5
"Alas2","11656",19,5.35766949975858e-06,16543,16891.5
"Alb","11657",14,1.84093961393404e-05,17398,17313
"Alcam","11658",40,4.35970127567952e-06,16234,16789
"Abcd1","11666",2,7.22879086527199e-08,3314,2423.5
"Aldh1a1","11668",43,5.13448135032478e-06,16490,17040
"Aldh2","11669",10,7.06716020927113e-07,10965,11850.5
"Aldh3a1","11670",20,2.42828874839363e-05,17477,17462
"Aldh3a2","11671",4,1.39733082285993e-06,13347,5566
"Aldoa","11674",12,9.65354689663397e-07,12070,11762.5
"Aldoc","11676",25,2.29588822418873e-06,14888,15654
"Alk","11682",1,3.39689305215121e-08,2019.5,821.5
"Alox12","11684",7,2.33375770628234e-06,14927,14135
"Alox12e","11685",6,8.38517703775638e-07,11557,9973.5
"Alox12b","11686",7,7.43661672812578e-07,11125,11552
"Alox15","11687",11,2.30790202910136e-06,14900,14053.5
"Alox8","11688",2,4.31019108656603e-07,9079,8898
"Alox5","11689",7,4.22148032511076e-07,8997,10160
"Alox5ap","11690",30,3.42527884437516e-06,15802,16172.5
"Gfer","11692",8,2.99163616912242e-07,7645,8654
"Alx3","11694",11,1.14908174038561e-06,12688,13420
"Alx4","11695",3,8.40164659472825e-08,3630,3716
"Ambn","11698",3,2.3305988419804e-07,6665,7004.5
"Ambp","11699",11,6.72752754566494e-07,10791,12004.5
"Amelx","11704",1,5.61065215976444e-08,2711,866
"Amh","11705",2,7.09076688161077e-08,3270,3381
"Ampd3","11717",36,2.94313220407971e-06,15482,16406.5
"Mat1a","11720",10,4.23799474173929e-07,9010,10390
"Amy1","11722",32,2.98313337197696e-06,15511,16276.5
"Ang","11727",36,1.16243234506576e-05,17243,17408
"Ang2","11731",2,8.11186873440129e-07,11430.5,3262.5
"Ank","11732",9,8.87322836896348e-07,11768,11216.5
