"","Gene","N.sums","MF.score","MF.rank","MF.nfold.min"
"Phxr1","18686",0,0,335.5,335.5
"Phxr4","18689",8,1.60109513780205e-06,13834,11796.5
"Pick1","18693",2,5.47016392808174e-08,2674.5,3553.5
"Piga","18700",9,3.7860591620982e-07,8585,9916
"Pigf","18701",5,9.98071503291048e-08,4058,5333
"Pigr","18703",20,4.09942607201237e-06,16130,16113.5
"Pik3c2a","18704",9,6.71080527642282e-07,10779,11577
"Pik3c2g","18705",5,2.35597535029623e-07,6714,7323
"Pik3ca","18706",12,7.83502431876896e-07,11311,12326
"Pik3cd","18707",14,6.20199227066539e-07,10472,12202.5
"Pik3r1","18708",15,1.11426793846182e-06,12572,13130
"Pik3r2","18709",3,1.43408288624797e-07,5065.5,3641.5
"Pik3r3","18710",10,3.40008801023877e-07,8155,9889
"Pikfyve","18711",4,1.84561649422238e-07,5873,5558
"Pim1","18712",14,1.23739225738448e-06,12926,13983.5
"Pim2","18715",11,2.73769481423866e-06,15330,15121
"Pip","18716",4,6.21230461899828e-07,10479,8734
"Pip5k1c","18717",5,4.29404830376103e-07,9064,5488
"Pip4k2a","18718",18,1.3294880057686e-06,13180,13553
"Pip5k1b","18719",22,1.51367857543875e-06,13657,14462.5
"Pip5k1a","18720",2,1.48387787432432e-07,5184,2190.5
"Pirb","18733",19,1.84930841913646e-06,14285,15039.5
"Pou1f1","18736",2,7.48802966286261e-08,3370.5,2331.5
"Pitpna","18738",5,1.14498513338234e-07,4429.5,5637.5
"Pitpnm1","18739",14,6.5138723294217e-07,10674,12079.5
"Pitx1","18740",7,1.86817924807416e-06,14305,11529
"Pitx2","18741",30,3.6972245355611e-06,15955,16579.5
"Pitx3","18742",3,4.84610876910822e-08,2470,3993
"Pja1","18744",9,2.03656076087135e-06,14563,9532
"Pkm","18746",14,7.35502880164636e-07,11095,12568
"Prkaca","18747",6,3.9825992878551e-07,8780,9760
"Prkacb","18749",15,9.26795961539735e-07,11916,11984.5
"Prkca","18750",19,2.18028810256544e-06,14757,15094.5
"Prkcb","18751",27,1.76270963944113e-06,14146,15056
"Prkcg","18752",9,6.38052294715097e-07,10597,11150.5
"Prkcd","18753",17,1.72448875645906e-06,14067,14484.5
"Prkce","18754",14,1.31227337050026e-06,13127,13913
"Prkch","18755",26,1.7093701396654e-06,14048,15210
"Prkci","18759",9,2.98147927444902e-07,7632,9099
"Prkd1","18760",22,1.39767044766501e-06,13350,14526
"Prkcq","18761",23,2.69369061836845e-06,15296,15794
"Prkcz","18762",8,3.26887554923848e-07,8005,9096.5
"Pkd1","18763",3,5.89799026769322e-07,10279,5625
"Pkd2","18764",13,6.13304496852305e-07,10433,10887
"Pkdrej","18766",1,1.80346326264178e-08,1460.5,1475.5
"Pkia","18767",29,2.74836657573702e-06,15339,15978
"Pkib","18768",46,9.31964966796823e-06,17099,17271.5
"Pkig","18769",13,6.82776406508349e-07,10833,12314.5
"Pklr","18770",12,1.74077625652889e-06,14100,11302
"Pknox1","18771",6,2.20352015868497e-07,6462,7892.5
"Pkp1","18772",10,1.21452973961209e-06,12872,12827.5
"Prl3b1","18776",3,2.91480213808903e-07,7549,6247
"Lypla1","18777",12,8.40348972653248e-07,11562,10674
"Pla2g1b","18778",9,1.02844661408782e-05,17166,13424.5
"Pla2r1","18779",4,1.92725763490742e-07,6015,7433
"Pla2g2a","18780",5,2.27871766348005e-06,14869,12258
"Pla2g2c","18781",2,4.35508798927347e-08,2269,3431
"Pla2g2d","18782",7,6.18541540566411e-07,10463,11355
"Pla2g4a","18783",27,1.56554289081958e-06,13771,14992
"Pla2g5","18784",16,3.60423117546967e-06,15904,15443
"Plaa","18786",7,2.90148287886846e-07,7530,8967
"Serpine1","18787",36,1.2473945517675e-05,17276,17448
"Serpinb2","18788",28,4.16614677814308e-06,16154,16792.5
"Papola","18789",11,1.28907722021593e-06,13066,13076
"Plat","18791",20,1.96969266637213e-06,14471,15126
"Plau","18792",16,1.71497230826886e-06,14055,14867
"Plaur","18793",21,3.88116135038084e-06,16041,16548
"Plcb1","18795",16,1.03652383555491e-06,12335,13492.5
"Plcb2","18796",4,1.0314286094895e-07,4155,4959
"Plcb3","18797",5,1.80848051856618e-07,5795,6857
"Plcb4","18798",17,7.11458784627112e-07,10991,12513
"Plcd1","18799",10,4.99150049882229e-07,9644,11178.5
"Plcd4","18802",12,1.02195481406295e-06,12288,11949.5
"Pld1","18805",16,6.81168743444768e-07,10830,12448
"Pld2","18806",9,3.91661473978939e-07,8714,10059.5
"Pld3","18807",14,1.76253541805076e-06,14145,14120.5
"Plec","18810",22,3.26590582860527e-06,15705,16150
"Pa2g4","18813",17,1.39063336120131e-06,13332,13797.5
"Prl7d1","18814",2,2.81533758568613e-07,7396,5946
"Plg","18815",6,2.07482402276892e-07,6264,7638
"Serpinf2","18816",7,9.87472624667113e-07,12154,10759
"Plk1","18817",20,1.79768062361185e-06,14197,15077
"Pln","18821",16,2.13245594299463e-06,14703,15317
"Plod1","18822",7,3.08847935973892e-07,7766,8969
"Plp1","18823",26,1.80863178294925e-06,14218,15326
"Plp2","18824",24,1.9896778662999e-06,14494,15581
"Lcp1","18826",32,3.31897604817843e-06,15738,16484.5
"Plscr2","18828",22,2.15874524155403e-06,14737,15582
"Pltp","18830",31,3.60809989147546e-06,15907,16533.5
"Bpifa1","18843",8,2.8948821263458e-06,15441,14264
"Plxna1","18844",6,2.63942149830572e-07,7134,6957.5
"Plxna2","18845",14,3.31176509049411e-06,15732,13092.5
"Plxna3","18846",6,6.21827229167523e-07,10486,6872
"Pml","18854",14,8.77627781704348e-07,11717,12686
"Pmp2","18857",3,1.45345704573289e-06,13501,10961.5
"Pmp22","18858",38,3.93886391800003e-06,16073,16695
"Pms2","18861",0,0,335.5,335.5
"Prrx1","18933",31,2.96801737321224e-06,15499,15825.5
"Phox2b","18935",9,1.00361551981984e-06,12227,13269
"Ppp1r14b","18938",11,6.07969554482997e-07,10407,11962.5
"Pnliprp1","18946",10,1.68594830492151e-06,13981,13604
"Pnliprp2","18947",12,1.74130384749137e-06,14102,13792
"Pnmt","18948",4,7.6563519335568e-08,3412,4875
"Pnn","18949",14,4.98278912135554e-07,9636,11422.5
"Pnp","18950",13,1.29694941926223e-06,13079,12768
"Sept4","18952",32,5.57413417508401e-06,16597,15899
"Pola1","18968",19,2.20521645560412e-06,14784,14794
"Pola2","18969",4,1.65870983759195e-07,5500,6605.5
"Polb","18970",4,6.90331127297675e-08,3193.5,4686.5
"Pold1","18971",14,7.99882922224551e-07,11390,12913
"Pold2","18972",4,5.04448337578792e-07,9684,10602
"Pole","18973",21,2.30593938097569e-06,14899,15427
"Pole2","18974",17,1.72096449357125e-06,14062,13373
"Polg","18975",2,6.64225620676656e-08,3114,2210
"Pomc","18976",12,2.28258103150984e-06,14871,15529
"Pon1","18979",19,4.93108272035119e-06,16436,15970.5
"Cnot7","18983",13,9.89795430392022e-07,12167,13220
"Por","18984",8,1.13951762400964e-06,12652,9776
"Pou2af1","18985",25,1.08114901359167e-05,17188,17198
"Pou2f1","18986",4,1.3812938498467e-07,4976,5238
"Pou2f2","18987",3,3.58992363251364e-07,8364,6650
"Pou2f3","18988",2,7.05954335037618e-08,3241,3099.5
"Pou3f1","18991",31,5.43875488470609e-06,16564,16946.5
"Pou3f2","18992",6,1.30244564400504e-06,13093,11006
"Pou3f3","18993",11,7.18926413046358e-07,11016,12324
"Pou3f4","18994",11,1.46888399617807e-05,17341,17142.5
"Pou4f1","18996",16,1.81102944753658e-06,14223,14224
"Pou4f2","18997",9,5.04882159801824e-06,16470,16655
"Pou4f3","18998",0,0,335.5,335.5
"Pou5f1","18999",6,1.59234452099663e-06,13814,12805.5
"Pou6f1","19009",15,7.07205466451812e-07,10969,12555.5
"Endou","19011",11,1.58675766212024e-06,13804,14109
"Ppap2a","19012",17,8.99237729199565e-07,11811,13054
"Ppara","19013",19,4.63740925442503e-06,16340,16195
"Med1","19014",8,2.46005048826463e-06,15065,15419
"Ppard","19015",3,1.85983605517954e-07,5897,6180.5
"Pparg","19016",24,1.8359105659683e-06,14260,15479.5
"Ppargc1a","19017",35,5.62881657302586e-06,16614,16974.5
"Scand1","19018",7,3.20903797967445e-07,7930,9419
"Ppef2","19023",4,5.2719642838033e-07,9849,8061
"Ppfibp2","19024",12,1.52707350017841e-06,13686,13776
"Ctsa","19025",6,4.01800725411817e-07,8809,9348
"Sypl","19027",18,9.5859685967725e-07,12051,13064.5
"Ppib","19035",6,3.1187862493392e-07,7826,8401.5
"Ppic","19038",32,2.21070591374624e-06,14789,15718
"Lgals3bp","19039",27,6.72399646542261e-06,16835,17092
"Ppl","19041",6,5.93803389929986e-07,10311,8795.5
"Ppm1a","19042",5,2.22328946449463e-07,6512,7134
"Ppm1b","19043",7,3.03615629784302e-07,7712,8703
"Ppox","19044",4,1.55476372642411e-07,5308,6005.5
"Ppp1ca","19045",2,3.14556650699385e-08,1897,3033
"Ppp1cb","19046",4,2.14024643363772e-07,6380,6828
"Ppp1cc","19047",3,1.64676808847776e-07,5484,5265
"Ppp1r1b","19049",13,1.3944605293743e-06,13340,14264
"Ppp1r17","19051",17,3.805567635015e-06,16001,16629
"Ppp2ca","19052",1,1.34210324435207e-08,946,1879
"Ppp2cb","19053",3,2.06367303814492e-07,6244,4432
"Ppp3ca","19055",7,2.26171406939388e-07,6569,8035.5
"Ppp3cb","19056",13,5.44467622758778e-07,9990,11556.5
"Ppp3cc","19057",11,4.27791673766597e-07,9043,10732.5
"Ppp3r1","19058",15,1.50335505688032e-06,13630,11819
"Ppp3r2","19059",1,1.80346326264178e-08,1460.5,1475.5
"Ppp5c","19060",4,9.36389189906549e-08,3888,5215
"Inpp5k","19062",7,7.94789618989214e-07,11373,11333
"Ppt1","19063",8,1.82268279908419e-06,14239,8549.5
"Ppy","19064",3,4.36791539134983e-07,9132,4930
"Npy4r","19065",1,1.70054226211437e-08,1312,1284
"Nup88","19069",1,1.34210324435207e-08,946,1879
"Mob4","19070",4,8.80099395497874e-08,3737,4729
"Prep","19072",0,0,335.5,335.5
"Srgn","19073",36,1.10305160059241e-05,17202,17161
"Prg2","19074",7,1.49854016594911e-06,13617,11522.5
"Prim1","19075",26,2.78611698564926e-06,15373,15740
"Prim2","19076",8,3.61646150990336e-07,8407,9636
"Prkab1","19079",5,1.51799195091917e-07,5251,6550.5
"Prkag1","19082",2,2.94282492652103e-08,1699,2904
"Prkar1a","19084",6,1.58653108644121e-07,5373,6697
"Prkar1b","19085",20,1.50124432859108e-06,13625,14822
"Prkar2a","19087",12,3.93193877636941e-07,8726,10519.5
"Prkar2b","19088",39,3.5739215750488e-06,15883,16464
"Prkcsh","19089",0,0,335.5,335.5
"Prkdc","19090",2,5.84421270774114e-08,2812.5,2794.5
"Prkg1","19091",28,4.18180344392954e-06,16160,16183.5
"Prkg2","19092",30,2.53245352927869e-06,15141,16064
"Mapk11","19094",9,5.98940960393077e-07,10351,11619
"Mapk8ip1","19099",7,1.82880818412301e-07,5841,7052.5
"Eif2ak2","19106",14,1.50348733510741e-06,13631,13521
"Prkx","19108",7,4.29005198787481e-07,9058,9356
"Prl","19109",3,8.7423833943911e-07,11703,10794
"Prl4a1","19110",1,2.42241606933924e-07,6828,780
"Prl6a1","19111",0,0,335.5,335.5
"Prl8a6","19112",1,7.79200945014906e-08,3443.5,1213.5
"Prl7a1","19113",3,2.89653235867217e-07,7518,4585.5
"Prl7a2","19114",0,0,335.5,335.5
"Prlr","19116",29,1.20152083194578e-05,17262,17418
"Prm1","19118",6,1.25833671209411e-05,17281,14658.5
"Prm2","19119",1,1.80346326264178e-08,1460.5,1475.5
"Prm3","19120",2,3.50400552475616e-08,2114,3462
"Prnp","19122",21,2.46267887440205e-06,15071,14572.5
"Proc","19123",7,2.51422298681021e-07,6951,7679
"Procr","19124",34,9.76409645504777e-06,17131,17110
"Prodh","19125",13,2.59457660038906e-06,15194,13250
"Prom1","19126",43,8.70073750513392e-06,17055,17335
"Prop1","19127",2,3.14556650699385e-08,1897,3033
"Pros1","19128",17,2.98374677088396e-06,15512,14516
"Prox1","19130",11,1.46404252269868e-06,13531,13182.5
"Prph","19132",10,2.20130666515576e-06,14780,14224
"Prph2","19133",3,1.44766560109362e-07,5101.5,6258.5
"Prpf4b","19134",5,1.22398183465038e-07,4630,5687.5
"Prps1","19139",3,3.0911120235196e-07,7770,7694.5
"Lgmn","19141",24,2.7350145140118e-06,15329,16081
"Prss12","19142",19,2.76707504558204e-06,15351,15167
"St14","19143",17,9.00686523897133e-07,11816,13227.5
"Klk6","19144",12,1.16899057899213e-06,12747,13896
"Tmprss15","19146",3,1.21416936513832e-06,12871,7826
"Prtn3","19152",22,2.1273537361687e-06,14693,15535
"Prx","19153",5,7.34932384714911e-06,16925,9246
"Npepps","19155",5,5.71575055224931e-07,10162,5903
"Psap","19156",15,1.19608545272987e-06,12821,13522
"Cyth1","19157",12,8.61543194784227e-07,11653,12623.5
"Cyth2","19158",3,7.54475496985551e-08,3381,4002.5
"Cyth3","19159",10,7.63961156607307e-07,11209,10985
"Psen1","19164",2,5.84421270774114e-08,2812.5,2794.5
"Psen2","19165",9,2.91520768490406e-07,7550,9278
"Psma2","19166",1,1.34210324435207e-08,946,1879
"Psma3","19167",4,2.42177588068554e-07,6824.5,5918.5
"Psmb1","19170",2,5.84421270774114e-08,2812.5,2794.5
"Psmb10","19171",7,5.21136296762184e-07,9809,9832.5
"Psmb4","19172",5,2.88753926401654e-07,7510,7942
"Psmb5","19173",5,3.53782700519495e-07,8306,8599
"Psmb6","19175",5,1.93846387756349e-07,6040,7425.5
"Psmb7","19177",6,2.54271496867074e-07,6991,7862.5
"Psmc1","19179",4,1.79642926394196e-07,5778,5949
"Psmc2","19181",3,8.00123579155508e-08,3544,4385
"Psmc3","19182",4,9.70177805366945e-08,3984,5060
"Psmc3ip","19183",16,1.95764772930001e-06,14452,14168.5
"Psmc5","19184",2,6.2007076529914e-08,2969,2239.5
"Psmd4","19185",2,3.89372797098375e-08,2180,2535
"Psme1","19186",7,4.82684343688805e-07,9507,9284
"Psme3","19192",8,2.86164027593032e-07,7472,9153
"Pipox","19193",14,7.8212281163565e-07,11300,12568
"Bpifa2","19194",5,6.74045316455393e-07,10798,11398.5
"Pspn","19197",0,0,335.5,335.5
"Pstpip1","19200",16,5.52087285349303e-06,16578,15145
"Pstpip2","19201",18,3.44334337942217e-06,15812,14757
"Rhox6","19202",11,4.40905876279888e-06,16259,16084
"Ptbp1","19205",13,6.53054749769713e-07,10680,11671.5
"Ptch1","19206",4,1.29644718554815e-07,4787,5310
"Ptch2","19207",3,1.71309688230018e-07,5611,5630.5
"Ptcra","19208",5,5.62092108811519e-07,10119,8465.5
"Ptdss1","19210",1,1.34210324435207e-08,946,1879
"Pten","19211",16,2.66086476028655e-06,15259,15527
"Pter","19212",20,2.2986654441594e-06,14893,15412
"Ptf1a","19213",6,1.58085781332868e-06,13796,12066.5
"Ptgdr","19214",0,0,335.5,335.5
"Ptgds","19215",31,4.52567193700917e-06,16303,16808.5
"Ptger1","19216",0,0,335.5,335.5
"Ptger2","19217",19,1.82553164942699e-06,14244,14477
"Ptger3","19218",31,9.79251151020363e-06,17133,16397
"Ptger4","19219",29,2.81483217144892e-06,15390,16309.5
"Ptgfr","19220",16,3.08033926423871e-05,17504,16193.5
"Ptgfrn","19221",24,2.25912022771471e-06,14845,15288.5
"Ptgir","19222",13,5.46968387498889e-06,16569,13101
"Ptgis","19223",23,3.93542634746237e-06,16071,14947
"Ptgs1","19224",27,5.53508073967095e-06,16584,16882
"Ptgs2","19225",62,2.93733953266289e-05,17499,17555.5
"Pth","19226",1,3.8241648979904e-07,8619,780
"Pthlh","19227",23,2.22111787852073e-06,14799,15733
"Pth1r","19228",21,4.01387738327633e-06,16103,16497.5
"Ptk2b","19229",16,1.77790029422606e-06,14167,14459
"Twf1","19230",11,6.75866352194081e-07,10808,11819
"Tmsb10","19240",33,2.77854654826879e-06,15360,15684.5
"Tmsb4x","19241",10,7.59759064891062e-07,11193,12400.5
"Ptn","19242",43,6.54401873183122e-06,16806,17084
"Ptp4a1","19243",9,4.49976644098629e-07,9245,10442
"Ptp4a2","19244",6,2.35710895959853e-07,6718,7473
"Ptp4a3","19245",22,1.30233239265997e-06,13092,14467.5
"Ptpn1","19246",4,2.38261787912537e-07,6750,6752.5
"Ptpn11","19247",4,4.51197348354241e-06,16300,7293.5
"Ptpn12","19248",7,2.12762132215598e-07,6347,8061
"Ptpn13","19249",16,9.27585731848973e-07,11922,13114
"Ptpn14","19250",13,6.85777333498542e-07,10855,11805.5
"Dusp1","19252",28,1.14700008514152e-05,17233,17372.5
"Ptpn18","19253",16,1.04461123178958e-06,12358,13565
"Ptpn2","19255",6,3.23070879002269e-07,7956,8020.5
"Ptpn20","19256",6,2.89198819378255e-07,7513,8441
"Ptpn4","19258",7,5.43369479136964e-07,9983,10036
"Ptpn5","19259",11,1.15231409983407e-06,12697,13853
"Ptpn22","19260",24,3.40403173515484e-06,15788,15233
"Sirpa","19261",27,3.09358199259589e-06,15590,15871
"Ptpra","19262",3,4.70570427799885e-08,2417,3823.5
"Ptprb","19263",26,7.30271125994652e-06,16918,16666.5
"Ptprc","19264",36,6.93349749886554e-06,16867,16989
"Ptprcap","19265",10,5.61275150220555e-07,10111,10610
"Ptprd","19266",24,2.70625701211275e-06,15306,16172.5
"Ptpre","19267",26,2.55008857793541e-06,15163,15214.5
"Ptprf","19268",24,2.64536642119853e-06,15242,15854.5
"Ptprg","19270",28,5.87041578921504e-06,16668,17045.5
"Ptprj","19271",21,1.31718243449406e-06,13142,14639
"Ptprk","19272",29,3.69717828588349e-06,15954,16359
"Ptpru","19273",4,6.56337062551844e-08,3098,4614
"Ptprm","19274",12,8.35899912664701e-07,11549,12823.5
"Ptprn","19275",9,2.63975578738068e-07,7135,8692
"Ptprn2","19276",11,5.07017170228497e-07,9714,10752
"Ptpro","19277",19,1.99943906624343e-06,14509,14903
"Ptprr","19279",17,1.31897328955866e-06,13147,14450
"Ptprs","19280",12,2.29474415849204e-06,14887,14815
"Ptprt","19281",7,7.17844194530876e-07,11012,11703
"Ptprz1","19283",21,1.38891197563e-06,13325,14611
"Ptrf","19285",21,2.01514867474796e-06,14527,14152.5
"Pts","19286",3,1.63311703912422e-07,5461,5227.5
"Ptx3","19288",32,8.22369215334744e-06,17007,17002
"Igdcc3","19289",3,1.27753332818316e-07,4731,5393
"Pura","19290",3,6.25596577078883e-08,2987.5,3706.5
"Purb","19291",13,5.39107471628263e-07,9949,10990.5
"Pvalb","19293",24,4.8115511974106e-06,16404,16549
"Pvrl2","19294",13,7.93548582692098e-07,11364,12407
"Pvt1","19296",23,3.27149696867238e-06,15707,15828
"Pex19","19298",3,5.49444965315271e-08,2688,3669
"Abcd3","19299",10,2.78066717235757e-07,7347,9247
"Abcd4","19300",1,2.99655994917834e-06,15520,693.5
"Pxmp2","19301",14,9.97586078962369e-07,12201,11932
"Pex2","19302",1,1.80346326264178e-08,1460.5,1475.5
"Pxn","19303",14,6.90664285171186e-07,10879,12332
"Pex5","19305",6,2.01538856282857e-07,6154,7505
"Pygm","19309",18,1.55296172631692e-06,13746,14235.5
"Qk","19317",32,4.69914054033383e-06,16367,15995
"Rab1","19324",4,2.023416436426e-07,6177,6607.5
"Rab10","19325",5,1.65691797981703e-07,5498,6612.5
"Rab11b","19326",8,2.07101012301492e-07,6258,7866
"Rab12","19328",7,1.62589008593577e-07,5444,7115.5
"Rab17","19329",11,5.34106274567723e-07,9912,10476
"Rab18","19330",10,3.62085266622429e-07,8412,10177
"Rab19","19331",6,6.09228761753607e-07,10413,9673
"Rab20","19332",15,2.26768201578283e-06,14856,15551
"Rab22a","19334",0,0,335.5,335.5
"Rab23","19335",8,3.01953957442236e-07,7688,8723.5
"Rab24","19336",4,3.22515720288554e-07,7948,8017
"Rab33a","19337",6,1.72318248942742e-07,5623,6906
"Rab33b","19338",5,2.77284988700988e-07,7325,8251
"Rab3a","19339",10,4.94811553916715e-07,9607,10864.5
"Rab3d","19340",21,1.07856660404927e-06,12467,13665
"Rab4a","19341",10,4.51762283011479e-07,9261,10998.5
"Rab4b","19342",6,1.45351050864468e-07,5115,6559
"Rab5b","19344",2,2.94282492652103e-08,1699,2904
"Rab5c","19345",4,2.98411306017109e-07,7638,6592
"Rab6a","19346",8,9.99866421766198e-07,12210,11029.5
"Dennd5a","19347",10,5.06045933276925e-07,9699,10040
"Kif20a","19348",36,5.35214162489628e-06,16541,17048.5
"Rab7","19349",4,1.73327765830399e-07,5648,5707
"Rabggtb","19352",3,2.0177009361756e-07,6164,4311
"Rac1","19353",3,5.30258959080778e-08,2623.5,4024.5
"Rac2","19354",23,2.47540514634293e-06,15082,15787
"Rad1","19355",3,6.14586745818535e-08,2948.5,3653.5
"Rad17","19356",0,0,335.5,335.5
"Rad21","19357",11,9.39294070815147e-07,11972,11011
"Rad23a","19358",10,1.86112170020606e-06,14293,13382.5
"Rad23b","19359",8,3.14077612155398e-06,15622,11435
"Rad50","19360",2,5.84421270774114e-08,2812.5,2794.5
"Rad51","19361",37,6.31920963540139e-06,16761,17168
"Rad51ap1","19362",45,8.21619578674275e-06,17006,17268
"Rad51b","19363",13,8.3410982107198e-06,17020,16969
"Rad51d","19364",4,1.14072695520774e-07,4423,5353.5
"Rad52","19365",6,1.75536162424426e-07,5687,7150
"Rad54l","19366",23,2.0968359026771e-06,14646,15505.5
"Rad9a","19367",2,4.65524408861987e-08,2390.5,2560.5
"Rag1","19373",13,1.98040683547583e-06,14481,14417
"Rag2","19374",4,3.58458141530901e-07,8349,6909
"Rab34","19376",18,6.76490386504869e-07,10811,12487.5
"Rai1","19377",4,1.37732158235389e-07,4969,6090
"Aldh1a2","19378",25,3.1584827392881e-06,15635,16274
"Raly","19383",5,3.12831549952106e-07,7840,6979
"Ran","19384",7,4.79786610683594e-07,9484,10694.5
"Ranbp1","19385",6,2.13497560848981e-07,6367,7788
"Ranbp2","19386",9,4.24727451220501e-06,16188,14756
"Rangap1","19387",2,3.50400552475616e-08,2114,3462
"Rasgrp2","19395",25,2.03612814284901e-06,14562,15528
"Rapsn","19400",5,1.59679988083235e-07,5389,6122.5
"Rara","19401",6,1.56515937525933e-07,5328,6648
"Rarg","19411",8,3.41887810198652e-07,8184,9405
"Rasa3","19414",15,9.00316908814207e-07,11813,13196.5
"Rasal1","19415",7,5.58477620437314e-07,10093,10214.5
"Rasd1","19416",6,4.9762700203684e-06,16449,15078
"Rasgrf1","19417",13,2.61568376953191e-06,15214,13339
"Rasgrf2","19418",20,1.47686994345792e-06,13565,14772
"Rasgrp1","19419",36,3.66714844619364e-06,15937,16692.5
"Rasl2-9","19428",5,1.20611154949914e-07,4598,6009
"Rax","19434",1,1.85766634751959e-08,1598.5,1104.5
"Rb1","19645",13,1.46935427532341e-06,13540,13778
"Rbbp4","19646",15,5.60260711500334e-06,16605,16355.5
"Rbbp6","19647",10,4.95487955605909e-07,9613,10250
"Robo3","19649",8,9.18764893528833e-07,11881,12410
"Rbl1","19650",23,2.37370189408535e-06,14973,15117
"Rbl2","19651",7,2.40367318811923e-07,6807,8061
"Rbm3","19652",16,3.81099568063318e-06,16008,13996
"Rbm6","19654",3,1.05543555433684e-07,4207,4407.5
"Rbmx","19655",13,1.83661731375568e-06,14263,13559.5
"Rbmxl1","19656",6,3.01059709554324e-07,7674,7537
"Rbp1","19659",33,8.50634240968586e-06,17037,17164
"Rbp2","19660",8,6.31761611405635e-07,10553,11307
"Rbp3","19661",1,4.96042818416086e-08,2516.5,738.5
"Rbp4","19662",30,3.13014805444215e-06,15617,16284
"Rbpms","19663",27,1.55529631264524e-06,13750,14943.5
"Rbpj","19664",6,3.36987635735733e-07,8116,9065
"Rbpjl","19668",1,1.85766634751959e-08,1598.5,1104.5
"Rce1","19671",0,0,335.5,335.5
"Rcn1","19672",23,1.69005610492626e-06,13998,15221.5
"Rcvrn","19674",5,2.87325402458494e-06,15431,7909
"Pitpnm2","19679",2,4.25216698874606e-08,2238.5,3236.5
"Rdh5","19682",8,3.08566090449534e-06,15587,9270.5
"Rdh16","19683",7,1.05218804710615e-06,12385,11489.5
"Rdx","19684",11,8.98408872690391e-07,11806,11256.5
"Rfc1","19687",6,2.63461357932621e-07,7130,8061
"Recql","19691",11,1.00063047082611e-06,12216,11514
"Reg1","19692",10,1.37385922872638e-06,13288,14146.5
"Reg2","19693",2,7.93986029725539e-08,3498,2164.5
"Reg3a","19694",4,6.79133275575317e-07,10821,10375
"Reg3g","19695",13,2.10958885695167e-06,14664,15221.5
"Rel","19696",15,2.23402226979806e-06,14814,15681
"Rela","19697",3,9.89746205510605e-08,4026,4356
"Relb","19698",16,1.63957543063307e-06,13907,14977.5
"Reln","19699",21,3.6594077645896e-06,15933,16345
"Rem1","19700",3,3.77378293525622e-07,8566,4206
"Renbp","19703",11,1.17496152220844e-06,12764,13865.5
"Upf1","19704",3,6.25596577078883e-08,2987.5,3706.5
"Reps1","19707",4,1.52107559312134e-07,5254,5819
"Dpf2","19708",0,0,335.5,335.5
"Resp18","19711",18,1.44033045893149e-06,13466,14144
"Rest","19712",9,3.58797422382038e-07,8358,9382.5
"Ret","19713",22,3.33524980959027e-06,15746,16131
"Rev3l","19714",6,2.70165536742632e-07,7220,8555
"Bex1","19716",44,1.22597628420458e-05,17271,17291
"Rfc2","19718",6,2.13502942781351e-07,6368,7460.5
"Rfng","19719",3,1.07348343766701e-07,4244,3691
"Trim27","19720",5,4.21137860533273e-07,8987,8638
"Rfx1","19724",1,1.34210324435207e-08,946,1879
"Rfx2","19725",12,6.88913211846211e-07,10875,11787
"Rfx3","19726",10,9.08510138458377e-07,11850,9865
"Rfxank","19727",1,1.34210324435207e-08,946,1879
"Slc50a1","19729",3,9.5841861200977e-08,3953,4787.5
"Ralgds","19730",8,5.59363486833885e-07,10099,10816
"Rgl1","19731",16,1.27943219839588e-06,13046,13744
"Rgl2","19732",4,2.34358684632691e-07,6684,6794
"Rgn","19733",13,1.76020729077954e-06,14143,13408.5
"Rgs16","19734",34,8.78879269307335e-06,17061,17151
"Rgs2","19735",43,6.28979337191283e-06,16754,17068
"Rgs4","19736",30,3.93826805134695e-06,16072,16609
"Rgs5","19737",29,4.49028578051377e-06,16294,16874
"Rgs9","19739",6,8.35223911929637e-07,11542,12595
"Rhag","19743",12,1.86802413903444e-06,14304,14377
"Rheb","19744",1,1.34210324435207e-08,946,1879
"Rhd","19746",9,7.02955603393227e-07,10945,10200.5
"Rnase1","19752",10,3.06142014064497e-06,15571,14919
"Rit2","19762",8,3.2002373043793e-07,7918,9588.5
"Ring1","19763",2,4.65524408861987e-08,2390.5,2560.5
"Ralbp1","19765",4,9.89037129423069e-08,4025,5418
"Ripk1","19766",10,3.53504898407986e-07,8302,10106
"Rit1","19769",4,9.86191287995135e-08,4023,4910
"Rlbp1","19771",11,1.05918843522438e-05,17178,14406
"Xpr1","19775",6,1.91593223197529e-07,5994,7346.5
"Uri1","19777",5,7.72911545385209e-07,11248,11292.5
"Rnaseh1","19819",0,0,335.5,335.5
"Rlim","19820",11,7.89647378537498e-07,11341,12240
"Rnf2","19821",3,9.27971468421332e-08,3863,3905
"Rnf4","19822",4,3.70208020623351e-07,8489,7212
"Rnf7","19823",2,6.80188452988159e-08,3174,2316.5
"Trim10","19824",11,1.2722543991053e-06,13018,13715.5
"Rnps1","19826",5,3.25811852780937e-07,7993,8659
"Robo1","19876",30,4.2352636490287e-06,16181,16802
"Rock1","19877",9,4.97882408576453e-07,9629,11165
"Rock2","19878",6,3.30741420727603e-07,8042,7703.5
"Slc22a8","19879",6,6.14917544174774e-07,10441,10813
"Rom1","19881",4,1.55623592601448e-07,5312,6363.5
