Samples,cluster_label,subclass_label,class_label,cluster_color,size,gene.counts,broad_class
SM-GE649_S070_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE649_S071_E1-50,Lamp5_Pdlim5,Lamp5,GABAergic,#FF7290,65,5092,CGE
SM-GE649_S073_E1-50,Pvalb_Il1rapl2,Pvalb,GABAergic,#BC2C41,163,5938,MGE
SM-GE649_S074_E1-50,Sncg,Sncg,GABAergic,#9900B3,63,5842,CGE
SM-GE649_S075_E1-50,Lamp5_Pdlim5,Lamp5,GABAergic,#FF7290,65,5092,CGE
SM-GE649_S076_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE649_S077_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE649_S078_E1-50,Sncg,Sncg,GABAergic,#9900B3,63,5842,CGE
SM-GE649_S079_E1-50,Sncg,Sncg,GABAergic,#9900B3,63,5842,CGE
SM-GE649_S080_E1-50,Lamp5_Pdlim5,Lamp5,GABAergic,#FF7290,65,5092,CGE
SM-GE649_S082_E1-50,Astro_Aqp4,Astro,Non-Neuronal,#7c2d1f,93,3671,GLIA
SM-GE649_S083_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S084_E1-50,L6_IT_Sulf_2,L6_IT,Glutamatergic,#3cbc92,219,6129,EXCIT
SM-GE649_S085_E1-50,Vip_Rspo4,Vip,GABAergic,#FF00FF,101,4724,CGE
